country_name,em_dm
Australia,Developed Markets
Austria,Developed Markets
Belgium,Developed Markets
Canada,Developed Markets
Denmark,Developed Markets
Finland,Developed Markets
France,Developed Markets
Germany,Developed Markets
Ireland,Developed Markets
Israel,Developed Markets
Italy,Developed Markets
Japan,Developed Markets
South Korea,Developed Markets
Netherlands,Developed Markets
Norway,Developed Markets
Singapore,Developed Markets
Spain,Developed Markets
Sweden,Developed Markets
Switzerland,Developed Markets
United Kingdom,Developed Markets
United States,Developed Markets
Brazil,Emerging Markets
Chile,Emerging Markets
China,Emerging Markets
Colombia,Emerging Markets
Czechia,Emerging Markets
Dominican Republic,Emerging Markets
Egypt,Emerging Markets
Hungary,Emerging Markets
Indonesia,Emerging Markets
Malaysia,Emerging Markets
Mexico,Emerging Markets
Peru,Emerging Markets
Philippines,Emerging Markets
Poland,Emerging Markets
Romania,Emerging Markets
Russia,Emerging Markets
Serbia,Emerging Markets
South Africa,Emerging Markets
Thailand,Emerging Markets
Turkey,Emerging Markets
Uruguay,Emerging Markets
Angola,Emerging Markets
Argentina,Emerging Markets
Azerbaijan,Emerging Markets
Bahrain,Emerging Markets
Bolivia,Emerging Markets
Costa Rica,Emerging Markets
Côte d’Ivoire,Emerging Markets
Croatia,Emerging Markets
Ecuador,Emerging Markets
El Salvador,Emerging Markets
Ethiopia,Emerging Markets
Gabon,Emerging Markets
Ghana,Emerging Markets
Guatemala,Emerging Markets
India,Emerging Markets
Iraq,Emerging Markets
Jamaica,Emerging Markets
Jordan,Emerging Markets
Kazakhstan,Emerging Markets
Kenya,Emerging Markets
Kuwait,Emerging Markets
Lebanon,Emerging Markets
Morocco,Emerging Markets
Nigeria,Emerging Markets
Oman,Emerging Markets
Pakistan,Emerging Markets
Panama,Emerging Markets
Paraguay,Emerging Markets
Qatar,Emerging Markets
Saudi Arabia,Emerging Markets
Senegal,Emerging Markets
Sri Lanka,Emerging Markets
Trinidad & Tobago,Emerging Markets
Tunisia,Emerging Markets
Ukraine,Emerging Markets
United Arab Emirates,Emerging Markets
Venezuela,Emerging Markets
Vietnam,Emerging Markets
Zambia,Emerging Markets
Portugal,Developed Markets
Taiwan,Emerging Markets
Greece,Developed Markets
Slovakia,Emerging Markets
Slovenia,Emerging Markets
Lithuania,Emerging Markets
Hong Kong SAR China,Emerging Markets
Cyprus,Developed Markets
Bulgaria,Emerging Markets
Luxembourg,Developed Markets
Latvia,Emerging Markets
Malta,Developed Markets
Estonia,Emerging Markets
